Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Ship_Mode,Customer_Age,Customer_Gender
ORD-02395,2023-01-11,CUST-0038,Myra Bose,Corporate,West,Rajasthan,Furniture,Bookcases,7,445.93,0.1,2809.34,193.44,Same Day,36,Male
ORD-01288,2023-01-11,CUST-0134,Tara Patel,Corporate,South,Karnataka,Office Supplies,Art,11,111.29,0.0,1224.19,297.9,Second Class,36,Male
ORD-02948,2023-01-12,CUST-0138,Sanjay Rao,Corporate,South,Tamil Nadu,Furniture,Furnishings,1,73.74,0.1,66.37,10.49,First Class,23,Female
ORD-00695,2023-01-12,CUST-0382,Riya Chopra,Corporate,Central,Chhattisgarh,Technology,Accessories,9,409.92,0.15,3135.86,323.68,Standard Class,20,Female
ORD-00677,2023-01-12,CUST-0166,Pooja Bose,Consumer,Central,Uttar Pradesh,Office Supplies,Paper,2,142.44,0.3,199.41,24.08,Standard Class,49,Female
ORD-02548,2023-01-12,CUST-0013,Karan Rao,Consumer,Central,Uttar Pradesh,Office Supplies,Storage,11,136.26,0.1,1348.99,280.4,Second Class,49,Female
ORD-01123,2023-01-12,CUST-0102,Riya Mehta,Corporate,West,Maharashtra,Office Supplies,Paper,2,32.65,0.1,58.78,23.01,Standard Class,34,Male
ORD-01584,2023-01-12,CUST-0388,Riya Reddy,Consumer,West,Maharashtra,Office Supplies,Binders,9,67.37,0.0,606.35,155.4,First Class,29,Female
ORD-02921,2023-01-12,CUST-0153,Aditya Bose,Corporate,Central,Madhya Pradesh,Technology,Accessories,3,1273.21,0.2,3055.71,239.76,Standard Class,56,Female
ORD-01121,2023-01-13,CUST-0217,Neha Iyer,Consumer,West,Maharashtra,Office Supplies,Binders,4,92.52,0.2,296.07,35.9,Standard Class,29,Female
ORD-02840,2023-01-13,CUST-0132,Tara Singh,Home Office,Central,Madhya Pradesh,Office Supplies,Storage,3,118.51,0.0,355.53,75.52,Standard Class,63,Male
ORD-00441,2023-01-14,CUST-0400,Diya Verma,Consumer,South,Kerala,Office Supplies,Art,8,53.98,0.0,431.87,108.38,Standard Class,53,Female
ORD-00745,2023-01-14,CUST-0269,Pooja Verma,Corporate,West,Rajasthan,Furniture,Chairs,5,345.46,0.2,1381.83,29.92,First Class,44,Male
ORD-00982,2023-01-14,CUST-0362,Diya Mehta,Consumer,South,Tamil Nadu,Technology,Machines,8,148.64,0.2,951.3,90.96,Same Day,24,Male
ORD-02980,2023-01-14,CUST-0112,Vivaan Reddy,Home Office,East,West Bengal,Office Supplies,Art,1,145.04,0.15,123.29,25.24,Standard Class,45,Male
ORD-02176,2023-01-14,CUST-0344,Karan Chopra,Consumer,West,Rajasthan,Technology,Copiers,5,1376.09,0.4,4128.27,-83.45,Second Class,25,Male
ORD-00721,2023-01-14,CUST-0025,Saanvi Mehta,Home Office,South,Tamil Nadu,Technology,Machines,3,1236.48,0.1,3338.48,426.95,Standard Class,57,Female
ORD-00657,2023-01-15,CUST-0333,Arjun Patel,Consumer,North,Haryana,Furniture,Chairs,4,484.98,0.1,1745.91,123.22,Standard Class,55,Male
ORD-01374,2023-01-15,CUST-0327,Neha Iyer,Corporate,North,Delhi,Technology,Accessories,4,1402.45,0.0,5609.82,1011.12,Standard Class,23,Male
ORD-02901,2023-01-15,CUST-0062,Kabir Gupta,Consumer,East,Bihar,Office Supplies,Storage,10,34.56,0.1,311.0,55.59,First Class,23,Female
ORD-00777,2023-01-15,CUST-0190,Vivaan Malhotra,Consumer,West,Gujarat,Office Supplies,Art,5,135.5,0.4,406.49,27.12,Second Class,34,Female
ORD-00604,2023-01-15,CUST-0219,Diya Iyer,Consumer,North,Delhi,Office Supplies,Art,6,23.14,0.0,138.82,38.39,Standard Class,42,Female
ORD-00439,2023-01-15,CUST-0094,Diya Kapoor,Home Office,West,Maharashtra,Technology,Phones,5,293.87,0.3,1028.54,45.37,Standard Class,49,Female
ORD-01052,2023-01-16,CUST-0354,Pooja Malhotra,Consumer,West,Rajasthan,Office Supplies,Binders,5,142.44,0.2,569.78,77.57,Standard Class,44,Male
ORD-01972,2023-01-16,CUST-0198,Neha Joshi,Home Office,South,Kerala,Office Supplies,Binders,1,111.62,0.15,94.88,10.14,Standard Class,45,Female
ORD-01446,2023-01-16,CUST-0316,Priya Patel,Consumer,East,Odisha,Technology,Phones,7,277.3,0.3,1358.79,42.84,Standard Class,57,Male
ORD-00879,2023-01-17,CUST-0353,Saanvi Sharma,Corporate,South,Karnataka,Office Supplies,Storage,8,128.17,0.1,922.85,194.13,Second Class,37,Male
ORD-02972,2023-01-17,CUST-0204,Karan Gupta,Corporate,Central,Madhya Pradesh,Furniture,Tables,8,770.73,0.3,4316.09,-128.24,Standard Class,31,Female
ORD-00569,2023-01-17,CUST-0217,Neha Iyer,Consumer,West,Gujarat,Office Supplies,Binders,8,132.24,0.3,740.52,86.07,Second Class,29,Female
ORD-00694,2023-01-18,CUST-0081,Ananya Kapoor,Home Office,East,West Bengal,Furniture,Bookcases,11,518.76,0.15,4850.45,229.07,First Class,20,Male
ORD-02686,2023-01-18,CUST-0130,Saanvi Sharma,Home Office,South,Karnataka,Technology,Phones,5,1312.14,0.3,4592.48,122.98,Standard Class,41,Female
ORD-00700,2023-01-19,CUST-0135,Myra Gupta,Consumer,North,Punjab,Office Supplies,Art,3,131.83,0.0,395.5,84.46,First Class,32,Female
ORD-00785,2023-01-19,CUST-0266,Myra Kapoor,Corporate,North,Haryana,Office Supplies,Storage,11,9.51,0.1,94.14,38.6,Standard Class,44,Female
ORD-01843,2023-01-19,CUST-0390,Aditya Reddy,Consumer,East,Bihar,Office Supplies,Binders,5,62.45,0.0,312.26,89.5,Standard Class,60,Female
ORD-00691,2023-01-19,CUST-0162,Diya Patel,Corporate,South,Kerala,Office Supplies,Storage,1,8.07,0.15,6.86,-3.37,Second Class,40,Female
ORD-01211,2023-01-19,CUST-0397,Arjun Chopra,Consumer,East,Bihar,Furniture,Chairs,5,437.17,0.0,2185.87,250.58,Standard Class,26,Female
ORD-01773,2023-01-19,CUST-0251,Myra Mehta,Consumer,Central,Chhattisgarh,Office Supplies,Art,2,91.64,0.0,183.29,56.31,Standard Class,48,Male
ORD-02169,2023-01-20,CUST-0073,Neha Gupta,Corporate,North,Haryana,Office Supplies,Paper,10,10.68,0.15,90.78,15.64,Standard Class,40,Female
ORD-00318,2023-01-20,CUST-0226,Saanvi Joshi,Corporate,West,Maharashtra,Technology,Accessories,3,987.53,0.0,2962.6,536.48,Second Class,39,Male
ORD-02940,2023-01-20,CUST-0359,Priya Joshi,Corporate,South,Kerala,Furniture,Bookcases,7,432.43,0.0,3027.02,361.45,Second Class,63,Female
ORD-02342,2023-01-21,CUST-0400,Diya Verma,Consumer,South,Tamil Nadu,Office Supplies,Art,1,44.94,0.0,44.94,2.81,First Class,53,Female
ORD-02534,2023-01-22,CUST-0156,Tara Verma,Corporate,South,Tamil Nadu,Furniture,Tables,2,264.69,0.1,476.45,40.71,Second Class,53,Male
ORD-02657,2023-01-22,CUST-0380,Amit Sharma,Consumer,West,Rajasthan,Office Supplies,Paper,8,133.91,0.1,964.16,208.71,Standard Class,55,Female
ORD-01654,2023-01-22,CUST-0205,Amit Joshi,Consumer,North,Haryana,Office Supplies,Paper,1,71.64,0.15,60.9,7.21,Standard Class,20,Female
ORD-01998,2023-01-23,CUST-0107,Riya Kapoor,Home Office,East,Bihar,Office Supplies,Binders,4,52.02,0.1,187.28,31.03,First Class,42,Male
ORD-01067,2023-01-23,CUST-0028,Ananya Joshi,Consumer,East,West Bengal,Technology,Accessories,2,1166.36,0.1,2099.45,273.64,Second Class,49,Male
ORD-02985,2023-01-24,CUST-0146,Sanjay Gupta,Consumer,West,Maharashtra,Office Supplies,Art,3,31.94,0.3,67.08,10.47,Same Day,53,Male
ORD-02699,2023-01-24,CUST-0174,Sanjay Gupta,Consumer,South,Karnataka,Technology,Phones,9,1457.74,0.2,10495.71,839.44,Standard Class,59,Female
ORD-00444,2023-01-24,CUST-0210,Amit Nair,Consumer,West,Rajasthan,Furniture,Chairs,6,56.87,0.15,290.06,11.17,Standard Class,30,Female
ORD-02205,2023-01-24,CUST-0303,Karan Rao,Consumer,South,Tamil Nadu,Office Supplies,Paper,5,50.77,0.0,253.85,70.18,Standard Class,48,Male
ORD-01171,2023-01-25,CUST-0176,Riya Sharma,Consumer,West,Gujarat,Furniture,Furnishings,1,767.73,0.0,767.73,74.54,Standard Class,55,Female
ORD-01103,2023-01-25,CUST-0056,Ananya Mehta,Home Office,South,Kerala,Office Supplies,Paper,10,90.96,0.0,909.64,246.53,Standard Class,42,Male
ORD-01960,2023-01-25,CUST-0237,Kabir Nair,Consumer,South,Kerala,Technology,Copiers,6,940.79,0.15,4798.05,508.05,Second Class,49,Male
ORD-02778,2023-01-25,CUST-0025,Saanvi Mehta,Home Office,South,Tamil Nadu,Technology,Copiers,7,1406.11,0.0,9842.8,1765.36,Same Day,57,Female
ORD-02187,2023-01-25,CUST-0047,Aarav Rao,Consumer,Central,Uttar Pradesh,Technology,Machines,8,94.75,0.2,606.42,46.95,Standard Class,43,Male
ORD-02564,2023-01-26,CUST-0342,Aarav Nair,Consumer,Central,Uttar Pradesh,Office Supplies,Storage,4,35.57,0.0,142.29,38.89,First Class,59,Male
ORD-01400,2023-01-26,CUST-0173,Kabir Joshi,Consumer,North,Delhi,Office Supplies,Storage,3,145.21,0.4,261.38,15.96,Standard Class,50,Male
ORD-01041,2023-01-26,CUST-0144,Saanvi Rao,Corporate,West,Rajasthan,Technology,Machines,6,1217.4,0.0,7304.4,1300.4,Standard Class,55,Male
ORD-01167,2023-01-26,CUST-0297,Karan Rao,Consumer,West,Gujarat,Office Supplies,Art,8,86.74,0.2,555.13,70.42,Second Class,48,Female
ORD-01757,2023-01-26,CUST-0237,Kabir Nair,Consumer,South,Kerala,Office Supplies,Storage,2,64.22,0.0,128.45,37.04,First Class,49,Male
ORD-02199,2023-01-26,CUST-0105,Aditya Sharma,Home Office,Central,Madhya Pradesh,Office Supplies,Binders,8,53.22,0.2,340.64,48.99,Second Class,45,Male
ORD-02507,2023-01-26,CUST-0378,Aarav Nair,Corporate,North,Haryana,Technology,Accessories,7,1162.5,0.2,6510.01,526.74,Standard Class,40,Male
ORD-00078,2023-01-27,CUST-0118,Priya Singh,Consumer,South,Tamil Nadu,Office Supplies,Art,5,40.07,0.2,160.3,25.81,Second Class,64,Male
ORD-02988,2023-01-27,CUST-0013,Karan Rao,Consumer,Central,Madhya Pradesh,Office Supplies,Binders,1,48.16,0.0,48.16,4.09,Standard Class,49,Female
ORD-02700,2023-01-28,CUST-0365,Ishaan Kapoor,Consumer,Central,Chhattisgarh,Office Supplies,Paper,10,76.89,0.0,768.94,204.4,Same Day,61,Male
ORD-00313,2023-01-28,CUST-0374,Amit Rao,Consumer,West,Maharashtra,Furniture,Furnishings,5,438.71,0.1,1974.19,133.68,Standard Class,30,Male
ORD-01090,2023-01-29,CUST-0064,Aditya Sharma,Consumer,North,Delhi,Technology,Copiers,6,806.41,0.15,4112.69,414.66,Standard Class,23,Female
ORD-01335,2023-01-29,CUST-0350,Aditya Gupta,Corporate,West,Rajasthan,Furniture,Chairs,11,348.26,0.0,3830.9,449.57,Standard Class,45,Female
ORD-02899,2023-01-29,CUST-0095,Saanvi Bose,Consumer,Central,Chhattisgarh,Furniture,Bookcases,8,285.41,0.1,2054.95,142.0,Standard Class,62,Female
ORD-02822,2023-01-29,CUST-0106,Kabir Sharma,Consumer,Central,Chhattisgarh,Technology,Phones,5,1115.71,0.0,5578.57,1019.78,Second Class,47,Male
ORD-01985,2023-01-29,CUST-0302,Kabir Gupta,Consumer,North,Punjab,Technology,Copiers,9,416.93,0.0,3752.39,676.25,Standard Class,55,Male
ORD-02496,2023-01-30,CUST-0366,Riya Rao,Consumer,North,Delhi,Office Supplies,Art,11,65.5,0.3,504.35,47.32,Standard Class,47,Female
ORD-01543,2023-01-30,CUST-0052,Riya Singh,Corporate,South,Tamil Nadu,Office Supplies,Paper,7,88.36,0.0,618.54,161.33,Standard Class,32,Female
ORD-02204,2023-01-30,CUST-0145,Aditya Gupta,Consumer,West,Gujarat,Furniture,Bookcases,3,432.85,0.0,1298.54,166.15,Second Class,41,Male
ORD-02981,2023-01-30,CUST-0389,Kabir Nair,Corporate,Central,Chhattisgarh,Furniture,Chairs,11,153.65,0.2,1352.12,17.78,Standard Class,45,Female
ORD-00686,2023-01-30,CUST-0120,Vivaan Nair,Consumer,West,Gujarat,Office Supplies,Binders,5,92.6,0.3,324.09,30.75,Second Class,57,Female
ORD-01836,2023-01-31,CUST-0322,Arjun Singh,Consumer,South,Karnataka,Technology,Phones,7,1212.86,0.4,5094.02,-105.17,First Class,34,Male
ORD-00641,2023-01-31,CUST-0065,Aditya Reddy,Corporate,Central,Madhya Pradesh,Office Supplies,Paper,3,94.06,0.3,197.52,19.98,Standard Class,44,Male
ORD-00004,2023-02-01,CUST-0247,Kabir Patel,Corporate,South,Tamil Nadu,Office Supplies,Paper,8,133.96,0.3,750.19,68.98,Second Class,54,Male
ORD-01556,2023-02-01,CUST-0075,Meera Chopra,Consumer,North,Delhi,Office Supplies,Art,2,133.95,0.1,241.1,60.92,Standard Class,37,Male
ORD-00228,2023-02-01,CUST-0158,Saanvi Iyer,Consumer,South,Karnataka,Office Supplies,Storage,1,33.83,0.0,33.83,6.62,Second Class,25,Female
ORD-01165,2023-02-02,CUST-0219,Diya Iyer,Consumer,North,Delhi,Office Supplies,Binders,11,36.49,0.15,341.17,46.98,Standard Class,42,Female
ORD-02275,2023-02-02,CUST-0006,Rohan Kapoor,Consumer,West,Maharashtra,Technology,Accessories,2,1026.32,0.2,1642.1,131.48,Standard Class,53,Female
ORD-00461,2023-02-02,CUST-0234,Kabir Nair,Consumer,East,Bihar,Furniture,Furnishings,11,323.09,0.1,3198.6,229.61,Same Day,43,Female
ORD-00666,2023-02-02,CUST-0398,Neha Iyer,Corporate,Central,Uttar Pradesh,Furniture,Furnishings,11,129.92,0.1,1286.2,102.47,Standard Class,37,Male
ORD-00746,2023-02-02,CUST-0368,Meera Chopra,Consumer,North,Delhi,Office Supplies,Art,6,51.6,0.0,309.58,77.28,Standard Class,28,Male
ORD-01666,2023-02-03,CUST-0259,Karan Verma,Home Office,East,West Bengal,Technology,Phones,4,1489.08,0.15,5062.87,565.32,Standard Class,40,Female
ORD-00235,2023-02-03,CUST-0366,Riya Rao,Consumer,North,Delhi,Furniture,Bookcases,3,727.42,0.1,1964.03,144.47,Standard Class,47,Female
ORD-00046,2023-02-03,CUST-0049,Aarav Joshi,Consumer,North,Punjab,Furniture,Furnishings,11,682.94,0.1,6761.14,468.36,Standard Class,53,Female
ORD-00272,2023-02-03,CUST-0135,Myra Gupta,Consumer,North,Haryana,Office Supplies,Storage,3,107.46,0.15,274.02,42.15,Standard Class,32,Female
ORD-02826,2023-02-03,CUST-0012,Aarav Joshi,Corporate,South,Karnataka,Office Supplies,Binders,11,87.41,0.0,961.52,237.15,Standard Class,49,Male
ORD-01176,2023-02-03,CUST-0094,Diya Kapoor,Home Office,West,Maharashtra,Office Supplies,Binders,7,50.06,0.0,350.45,69.57,Standard Class,49,Female
ORD-01906,2023-02-04,CUST-0372,Priya Verma,Consumer,West,Gujarat,Furniture,Tables,2,181.38,0.1,326.48,15.03,Standard Class,60,Female
ORD-00601,2023-02-04,CUST-0373,Arjun Reddy,Consumer,East,West Bengal,Office Supplies,Binders,3,86.02,0.0,258.05,74.55,Standard Class,41,Female
ORD-00685,2023-02-04,CUST-0083,Vivaan Mehta,Consumer,South,Kerala,Office Supplies,Paper,1,12.83,0.15,10.9,-0.71,Second Class,60,Male
ORD-00591,2023-02-04,CUST-0389,Kabir Nair,Corporate,Central,Uttar Pradesh,Technology,Machines,11,610.46,0.0,6715.11,1194.7,Standard Class,45,Female
ORD-01026,2023-02-04,CUST-0069,Pooja Patel,Consumer,Central,Uttar Pradesh,Technology,Machines,7,387.19,0.0,2710.31,500.74,Same Day,46,Female
ORD-02713,2023-02-04,CUST-0089,Ananya Bose,Consumer,West,Maharashtra,Furniture,Furnishings,6,317.08,0.0,1902.45,215.6,Standard Class,64,Female
ORD-00933,2023-02-04,CUST-0139,Meera Joshi,Corporate,Central,Chhattisgarh,Office Supplies,Paper,10,41.94,0.1,377.46,66.69,Second Class,29,Female
ORD-02064,2023-02-05,CUST-0276,Saanvi Patel,Consumer,Central,Madhya Pradesh,Office Supplies,Paper,7,148.91,0.1,938.12,191.02,First Class,51,Male
ORD-02937,2023-02-05,CUST-0300,Meera Gupta,Consumer,South,Tamil Nadu,Office Supplies,Storage,11,130.01,0.0,1430.09,359.33,Standard Class,58,Female
ORD-01525,2023-02-05,CUST-0379,Aarav Verma,Corporate,Central,Chhattisgarh,Office Supplies,Binders,11,93.11,0.1,921.78,200.59,Standard Class,45,Female
ORD-00247,2023-02-06,CUST-0089,Ananya Bose,Consumer,West,Gujarat,Office Supplies,Binders,5,134.78,0.15,572.83,96.04,Same Day,64,Female
ORD-00184,2023-02-06,CUST-0054,Aarav Kapoor,Corporate,West,Rajasthan,Furniture,Chairs,3,344.67,0.0,1034.01,117.31,Second Class,62,Male
ORD-00429,2023-02-06,CUST-0175,Ishaan Gupta,Corporate,East,Odisha,Furniture,Furnishings,4,733.13,0.3,2052.75,-41.59,Standard Class,56,Male
ORD-02114,2023-02-06,CUST-0388,Riya Reddy,Consumer,West,Gujarat,Office Supplies,Paper,11,16.68,0.1,165.15,33.62,Same Day,29,Female
ORD-00752,2023-02-06,CUST-0004,Ananya Mehta,Consumer,South,Tamil Nadu,Office Supplies,Art,10,100.0,0.0,1000.0,264.07,Second Class,58,Male
ORD-00487,2023-02-06,CUST-0111,Aarav Gupta,Consumer,West,Gujarat,Technology,Machines,6,500.07,0.3,2100.29,62.03,Second Class,64,Male
ORD-00457,2023-02-07,CUST-0207,Arjun Rao,Corporate,East,Odisha,Furniture,Furnishings,9,735.76,0.0,6621.8,788.34,Second Class,33,Female
ORD-00623,2023-02-08,CUST-0212,Kabir Sharma,Consumer,South,Tamil Nadu,Furniture,Chairs,8,147.28,0.15,1001.5,56.56,Standard Class,32,Male
ORD-00040,2023-02-08,CUST-0164,Aarav Joshi,Consumer,South,Karnataka,Furniture,Furnishings,1,401.58,0.0,401.58,58.69,Same Day,25,Male
ORD-01501,2023-02-08,CUST-0127,Aditya Malhotra,Corporate,South,Kerala,Furniture,Bookcases,9,743.66,0.0,6692.9,807.98,Second Class,58,Female
ORD-00987,2023-02-08,CUST-0331,Ananya Kapoor,Home Office,East,West Bengal,Technology,Machines,7,334.68,0.1,2108.5,273.63,First Class,46,Female
ORD-00730,2023-02-08,CUST-0219,Diya Iyer,Consumer,North,Haryana,Technology,Copiers,7,519.87,0.4,2183.44,-45.27,Second Class,42,Female
ORD-01405,2023-02-09,CUST-0389,Kabir Nair,Corporate,Central,Madhya Pradesh,Office Supplies,Art,4,149.28,0.3,417.98,46.93,Second Class,45,Female
ORD-01969,2023-02-09,CUST-0107,Riya Kapoor,Home Office,East,Bihar,Office Supplies,Storage,2,129.87,0.0,259.74,51.04,Second Class,42,Male
ORD-02812,2023-02-09,CUST-0208,Riya Iyer,Corporate,West,Gujarat,Office Supplies,Paper,8,24.71,0.3,138.36,10.0,Standard Class,57,Female
ORD-01921,2023-02-09,CUST-0251,Myra Mehta,Consumer,Central,Uttar Pradesh,Technology,Phones,11,1398.44,0.1,13844.52,1799.49,Standard Class,48,Male
ORD-02994,2023-02-09,CUST-0015,Myra Joshi,Corporate,Central,Uttar Pradesh,Office Supplies,Storage,11,112.86,0.15,1055.24,171.89,Second Class,42,Male
ORD-02145,2023-02-09,CUST-0153,Aditya Bose,Corporate,Central,Chhattisgarh,Technology,Machines,3,612.4,0.0,1837.2,337.54,Standard Class,56,Female
ORD-02167,2023-02-09,CUST-0054,Aarav Kapoor,Corporate,West,Gujarat,Office Supplies,Paper,6,89.33,0.2,428.79,72.82,First Class,62,Male
ORD-00456,2023-02-10,CUST-0387,Priya Joshi,Consumer,Central,Chhattisgarh,Technology,Accessories,9,1365.93,0.0,12293.34,2194.77,Second Class,28,Male
ORD-00903,2023-02-10,CUST-0167,Priya Nair,Home Office,West,Maharashtra,Office Supplies,Binders,6,126.21,0.0,757.25,191.05,Standard Class,30,Female
ORD-00176,2023-02-10,CUST-0044,Tara Malhotra,Corporate,North,Haryana,Office Supplies,Storage,11,105.53,0.0,1160.87,294.31,Standard Class,29,Male
ORD-01653,2023-02-10,CUST-0297,Karan Rao,Consumer,West,Rajasthan,Technology,Phones,8,798.29,0.15,5428.4,572.62,First Class,48,Female
ORD-02670,2023-02-11,CUST-0325,Meera Sharma,Consumer,North,Haryana,Office Supplies,Binders,2,46.26,0.0,92.51,3.21,Second Class,24,Female
ORD-00118,2023-02-11,CUST-0168,Neha Gupta,Home Office,South,Tamil Nadu,Office Supplies,Binders,2,47.4,0.0,94.79,23.95,Standard Class,49,Male
ORD-00015,2023-02-11,CUST-0260,Aditya Joshi,Consumer,Central,Madhya Pradesh,Office Supplies,Binders,7,78.97,0.0,552.76,145.53,Standard Class,56,Female
ORD-00223,2023-02-12,CUST-0068,Kabir Mehta,Consumer,South,Tamil Nadu,Technology,Copiers,3,1447.69,0.0,4343.06,768.89,Second Class,22,Female
ORD-00323,2023-02-12,CUST-0090,Aarav Sharma,Consumer,Central,Chhattisgarh,Office Supplies,Paper,9,40.26,0.0,362.35,96.11,First Class,46,Female
ORD-01694,2023-02-12,CUST-0094,Diya Kapoor,Home Office,West,Rajasthan,Office Supplies,Art,5,112.64,0.3,394.26,47.92,Second Class,49,Female
ORD-02097,2023-02-12,CUST-0032,Tara Singh,Corporate,North,Delhi,Furniture,Chairs,7,518.63,0.1,3267.37,229.31,Standard Class,57,Male
ORD-01983,2023-02-12,CUST-0188,Pooja Singh,Corporate,Central,Uttar Pradesh,Office Supplies,Storage,11,7.37,0.15,68.93,18.91,Standard Class,57,Female
ORD-01162,2023-02-13,CUST-0285,Tara Sharma,Corporate,East,West Bengal,Office Supplies,Paper,6,68.07,0.0,408.41,97.92,Second Class,21,Female
